fundid,navdate,navperunit,aum,monthlyreturn,benchmarkreturn
F001,2025-01-31,91.9442,132964633.7,-0.018921,-0.016687
F001,2025-02-28,90.7277,132849840.7,-0.013231,0.000177
F001,2025-03-31,89.1595,130686660.24,-0.017284,-0.009209
F001,2025-04-30,89.8893,131670863.23,0.008185,0.009412
F001,2025-05-31,87.3335,130843380.47,-0.028433,-0.023698
F001,2025-06-30,91.8201,136724539.45,0.051373,0.043315
F001,2025-07-31,93.4625,138428085.35,0.017888,0.01463
F001,2025-08-31,88.296,130450966.29,-0.055279,-0.052717
F001,2025-09-30,86.2946,127684773.25,-0.022667,0.00796
F001,2025-10-31,84.7742,126397420.02,-0.017619,-0.029556
F001,2025-11-30,82.5813,124836925.68,-0.025868,-0.023274
F001,2025-12-31,82.599,127477982.71,0.000215,-0.005519
F001,2026-01-31,83.1108,127344111.34,0.006196,0.016732
F001,2026-02-28,84.696,129469293.94,0.019073,0.022501
F001,2026-03-31,82.6458,125097708.68,-0.024207,-0.01361
F001,2026-04-30,83.4881,125084532.83,0.010191,0.01585
F001,2026-05-31,85.1236,126798052.37,0.01959,0.009521
F001,2026-06-30,86.6092,129125823.54,0.017453,0.026232
F001,2026-07-31,85.8325,126564134.18,-0.008968,0.007395
F001,2026-08-31,85.5263,127960826.64,-0.003568,0.008837
F002,2025-01-31,115.7729,104450635.93,0.04381,0.038314
F002,2025-02-28,116.2575,106896993.62,0.004186,0.0034
F002,2025-03-31,114.0469,107857258.37,-0.019015,-0.014876
F002,2025-04-30,116.7273,111573330.36,0.023503,0.01488
F002,2025-05-31,120.5788,115161915.38,0.032996,0.041562
F002,2025-06-30,117.5019,111522504.25,-0.025518,-0.02205
F002,2025-07-31,121.4268,115420166.04,0.033403,0.016243
F002,2025-08-31,122.2417,115290573.8,0.006711,-0.003037
F002,2025-09-30,123.3416,117844746.64,0.008998,0.004667
F002,2025-10-31,120.6796,115829827.42,-0.021582,-0.011382
F002,2025-11-30,122.3226,119930017.85,0.013615,0.008904
F002,2025-12-31,119.9729,117126981.73,-0.019209,0.003702
F002,2026-01-31,115.3548,115283070.63,-0.038493,-0.031495
F002,2026-02-28,110.8939,113414297.91,-0.038671,-0.017916
F002,2026-03-31,111.4717,115635802.4,0.00521,0.000634
F002,2026-04-30,105.889,109606232.39,-0.050082,-0.041417
F002,2026-05-31,104.3324,107577090.4,-0.0147,-0.01548
F002,2026-06-30,107.1278,111457390.84,0.026793,0.015478
F002,2026-07-31,105.1144,110152030.65,-0.018794,-0.001489
F002,2026-08-31,103.8377,111918220.82,-0.012146,-0.02638
F003,2025-01-31,104.4841,108910314.92,0.000755,0.016344
F003,2025-02-28,106.6468,109666020.07,0.020699,0.016519
F003,2025-03-31,108.3644,109988254.88,0.016105,0.013856
F003,2025-04-30,109.1809,111542334.48,0.007535,0.005983
F003,2025-05-31,105.763,107036703.51,-0.031305,-0.002485
F003,2025-06-30,105.331,109954119.92,-0.004085,-0.018332
F003,2025-07-31,104.7714,109269859.63,-0.005313,0.004763
F003,2025-08-31,103.4357,106551778.53,-0.012749,-0.005958
F003,2025-09-30,105.7238,109693469.07,0.022121,0.016075
F003,2025-10-31,111.9038,119178390.43,0.058455,0.07113
F003,2025-11-30,116.9507,127815418.3,0.0451,0.031884
F003,2025-12-31,116.6391,130635158.01,-0.002664,0.019674
F003,2026-01-31,118.773,135149151.37,0.018295,0.011576
F003,2026-02-28,114.5385,132305387.75,-0.035652,-0.044098
F003,2026-03-31,115.5995,134847068.57,0.009263,0.005226
F003,2026-04-30,121.3787,141165991.24,0.049994,0.041365
F003,2026-05-31,120.7774,139152375.65,-0.004955,-0.013467
F003,2026-06-30,119.27,136790824.9,-0.01248,-0.01951
F003,2026-07-31,126.7599,147163987.77,0.062797,0.059165
F003,2026-08-31,133.1967,156686418.61,0.05078,0.055467
F004,2025-01-31,113.9371,66936727.73,0.021252,0.001958
F004,2025-02-28,118.38,72098646.45,0.038994,0.020509
F004,2025-03-31,120.1455,74489961.03,0.014914,0.013508
F004,2025-04-30,121.9967,77652461.21,0.015408,0.025921
F004,2025-05-31,121.931,79823217.86,-0.000539,0.016332
F004,2025-06-30,123.1602,80964443.91,0.010082,0.003553
F004,2025-07-31,124.0702,81928976.37,0.007388,0.019478
F004,2025-08-31,127.6867,85520975.26,0.029149,0.038823
F004,2025-09-30,128.6607,86708324.12,0.007628,-0.009346
F004,2025-10-31,126.1889,88460113.64,-0.019211,-0.01512
F004,2025-11-30,126.4781,90526114.18,0.002292,0.007534
F004,2025-12-31,129.614,93309711.48,0.024794,0.034823
F004,2026-01-31,131.7647,94624057.39,0.016594,0.01632
F004,2026-02-28,140.3504,102517026.97,0.065159,0.04289
F004,2026-03-31,137.8808,102614769.68,-0.017597,-0.023644
F004,2026-04-30,140.3786,107565253.29,0.018116,0.023647
F004,2026-05-31,143.2824,109998534.42,0.020685,0.019914
F004,2026-06-30,138.2741,108909125.92,-0.034954,-0.021769
F004,2026-07-31,128.7661,103881678.73,-0.068762,-0.05552
F004,2026-08-31,129.8098,107340936.05,0.008106,0.017359
F005,2025-01-31,113.4427,146521352.61,-0.025588,-0.023122
F005,2025-02-28,115.9079,152916818.93,0.021731,0.005063
F005,2025-03-31,114.3862,153347867.41,-0.013129,0.003549
F005,2025-04-30,112.795,153896981.38,-0.013911,-0.016134
F005,2025-05-31,111.2767,152940947.97,-0.013461,-0.035119
F005,2025-06-30,112.0858,154308744.18,0.007272,0.013422
F005,2025-07-31,110.2363,150794702.13,-0.016501,-0.028943
F005,2025-08-31,108.015,150427818.38,-0.020151,-0.011459
F005,2025-09-30,109.6928,151267458.47,0.015533,0.018776
F005,2025-10-31,109.8928,150582251.42,0.001823,0.014014
F005,2025-11-30,111.7745,156411175.15,0.017123,0.011963
F005,2025-12-31,114.1266,162328726.29,0.021043,0.007309
F005,2026-01-31,113.5801,164123914.37,-0.004788,-0.004879
F005,2026-02-28,115.1883,165553202.23,0.014159,0.012216
F005,2026-03-31,120.2091,171625901.17,0.043587,0.022998
F005,2026-04-30,124.4935,178352499.86,0.035642,0.004675
F005,2026-05-31,124.6346,180543694.34,0.001133,-0.009879
F005,2026-06-30,126.02,182092788.45,0.011116,-0.001684
F005,2026-07-31,124.0532,180143081.86,-0.015607,-0.024061
F005,2026-08-31,124.0149,181044085.16,-0.000309,0.000509
F006,2025-01-31,95.4204,81663494.88,0.049204,0.044092
F006,2025-02-28,94.8753,80186993.21,-0.005713,-0.017176
F006,2025-03-31,92.8769,78753274.25,-0.021063,-0.007092
F006,2025-04-30,95.9941,80033097.48,0.033563,0.034556
F006,2025-05-31,99.7276,86175201.15,0.038893,0.034055
F006,2025-06-30,97.6268,83274710.56,-0.021065,-0.024929
F006,2025-07-31,95.9026,84915541.0,-0.017661,-0.000379
F006,2025-08-31,93.3331,82347330.87,-0.026793,-0.033897
F006,2025-09-30,94.6172,83529291.35,0.013757,0.012576
F006,2025-10-31,93.9183,82495146.09,-0.007386,0.014339
F006,2025-11-30,94.4232,82080523.17,0.005376,0.002956
F006,2025-12-31,96.3073,86896061.44,0.019954,0.034335
F006,2026-01-31,94.8248,86374293.69,-0.015394,-0.021742
F006,2026-02-28,93.7033,88477678.6,-0.011827,-0.002082
F006,2026-03-31,93.6927,89895949.0,-0.000113,0.001506
F006,2026-04-30,92.2869,91558395.13,-0.015005,-0.003289
F006,2026-05-31,93.2444,92459843.3,0.010376,0.001988
F006,2026-06-30,93.864,92348194.78,0.006645,0.000101
F006,2026-07-31,94.7437,94144914.14,0.009372,0.014694
F006,2026-08-31,99.6176,101521992.17,0.051443,0.049201
F007,2025-01-31,120.0743,128277325.14,0.024854,0.02128
F007,2025-02-28,116.063,123635653.9,-0.033407,-0.013736
F007,2025-03-31,113.4329,123892223.53,-0.022661,-0.030512
F007,2025-04-30,115.9748,128870324.43,0.022409,0.016996
F007,2025-05-31,119.7781,133786939.29,0.032794,0.036369
F007,2025-06-30,119.2266,131773635.55,-0.004604,-0.019921
F007,2025-07-31,115.2454,129047661.99,-0.033392,-0.031983
F007,2025-08-31,119.6428,133866240.6,0.038157,0.028235
F007,2025-09-30,117.0781,129822490.24,-0.021437,-0.01851
F007,2025-10-31,120.797,134234371.96,0.031764,0.001115
F007,2025-11-30,118.0782,134246221.12,-0.022507,-0.03965
F007,2025-12-31,119.5203,135195789.18,0.012213,0.015009
F007,2026-01-31,115.5174,131398387.8,-0.033492,-0.027396
F007,2026-02-28,119.1457,135340599.64,0.03141,0.030163
F007,2026-03-31,125.8743,142411335.44,0.056474,0.046332
F007,2026-04-30,124.3749,140376117.91,-0.011912,-0.021381
F007,2026-05-31,126.9448,145284024.48,0.020663,0.014034
F007,2026-06-30,129.0481,150131670.84,0.016569,0.014772
F007,2026-07-31,135.1358,158641733.84,0.047173,0.034112
F007,2026-08-31,143.2866,167395697.78,0.060316,0.057441
F008,2025-01-31,118.2398,136245553.93,0.005253,0.011114
F008,2025-02-28,117.8748,136264334.89,-0.003086,-0.005317
F008,2025-03-31,114.9848,135442748.88,-0.024518,-0.014879
F008,2025-04-30,117.3282,139252410.36,0.02038,0.013912
F008,2025-05-31,118.5115,141723769.38,0.010086,0.012034
F008,2025-06-30,123.0714,146912149.72,0.038477,0.038207
F008,2025-07-31,121.2951,145100353.57,-0.014433,0.007026
F008,2025-08-31,123.6921,146766180.84,0.019762,0.00901
F008,2025-09-30,120.176,144997284.94,-0.028427,-0.040002
F008,2025-10-31,125.8658,155016264.25,0.047346,0.042749
F008,2025-11-30,124.7925,156528969.83,-0.008528,-0.020412
F008,2025-12-31,124.9326,158279274.11,0.001123,0.005886
F008,2026-01-31,124.4752,159429991.14,-0.003661,0.019178
F008,2026-02-28,124.5976,161081558.33,0.000983,0.006499
F008,2026-03-31,126.779,164565449.6,0.017508,-0.004085
F008,2026-04-30,128.9909,166360767.3,0.017447,0.015088
F008,2026-05-31,130.8174,170423512.87,0.01416,0.016897
F008,2026-06-30,130.7149,171112486.3,-0.000784,-0.011053
F008,2026-07-31,130.9636,171455589.43,0.001903,0.025495
F008,2026-08-31,128.7953,168657542.38,-0.016557,-0.015708
