fundid,navdate,navperunit,aum,monthlyreturn,benchmarkreturn,excess_return
F001,2025-01-31,91.9442,132964633.7,-0.018921,-0.016687,-0.002234
F001,2025-02-28,90.7277,132849840.7,-0.013231,0.000177,-0.013408
F001,2025-03-31,89.1595,130686660.24,-0.017284,-0.009209,-0.008075
F001,2025-04-30,89.8893,131670863.23,0.008185,0.009412,-0.0012270000000000007
F001,2025-05-31,87.3335,130843380.47,-0.028433,-0.023698,-0.004735
F001,2025-06-30,91.8201,136724539.45,0.051373,0.043315,0.008058000000000003
F001,2025-07-31,93.4625,138428085.35,0.017888,0.01463,0.0032580000000000005
F001,2025-08-31,88.296,130450966.29,-0.055279,-0.052717,-0.0025620000000000018
F001,2025-09-30,86.2946,127684773.25,-0.022667,0.00796,-0.030627
F001,2025-10-31,84.7742,126397420.02,-0.017619,-0.029556,0.011937
F001,2025-11-30,82.5813,124836925.68,-0.025868,-0.023274,-0.002593999999999999
F001,2025-12-31,82.599,127477982.71,0.000215,-0.005519,0.0057339999999999995
F001,2026-01-31,83.1108,127344111.34,0.006196,0.016732,-0.010536
F001,2026-02-28,84.696,129469293.94,0.019073,0.022501,-0.0034280000000000005
F001,2026-03-31,82.6458,125097708.68,-0.024207,-0.01361,-0.010596999999999999
F001,2026-04-30,83.4881,125084532.83,0.010191,0.01585,-0.005658999999999999
F001,2026-05-31,85.1236,126798052.37,0.01959,0.009521,0.010069
F001,2026-06-30,86.6092,129125823.54,0.017453,0.026232,-0.008778999999999999
F001,2026-07-31,85.8325,126564134.18,-0.008968,0.007395,-0.016363
F001,2026-08-31,85.5263,127960826.64,-0.003568,0.008837,-0.012405
F002,2025-01-31,115.7729,104450635.93,0.04381,0.038314,0.005496000000000001
F002,2025-02-28,116.2575,106896993.62,0.004186,0.0034,0.0007859999999999998
F002,2025-03-31,114.0469,107857258.37,-0.019015,-0.014876,-0.004139
F002,2025-04-30,116.7273,111573330.36,0.023503,0.01488,0.008622999999999999
F002,2025-05-31,120.5788,115161915.38,0.032996,0.041562,-0.008566000000000004
F002,2025-06-30,117.5019,111522504.25,-0.025518,-0.02205,-0.003467999999999999
F002,2025-07-31,121.4268,115420166.04,0.033403,0.016243,0.01716
F002,2025-08-31,122.2417,115290573.8,0.006711,-0.003037,0.009748
F002,2025-09-30,123.3416,117844746.64,0.008998,0.004667,0.004331000000000001
F002,2025-10-31,120.6796,115829827.42,-0.021582,-0.011382,-0.0102
F002,2025-11-30,122.3226,119930017.85,0.013615,0.008904,0.004711
F002,2025-12-31,119.9729,117126981.73,-0.019209,0.003702,-0.022911
F002,2026-01-31,115.3548,115283070.63,-0.038493,-0.031495,-0.006997999999999997
F002,2026-02-28,110.8939,113414297.91,-0.038671,-0.017916,-0.020754999999999996
F002,2026-03-31,111.4717,115635802.4,0.00521,0.000634,0.004576
F002,2026-04-30,105.889,109606232.39,-0.050082,-0.041417,-0.008664999999999999
F002,2026-05-31,104.3324,107577090.4,-0.0147,-0.01548,0.0007800000000000012
F002,2026-06-30,107.1278,111457390.84,0.026793,0.015478,0.011315
F002,2026-07-31,105.1144,110152030.65,-0.018794,-0.001489,-0.017305
F002,2026-08-31,103.8377,111918220.82,-0.012146,-0.02638,0.014234
