tradeid,fundid,assetid,tradedate,tradetype,quantity,tradeprice,grossvalue,signed_gross_value
TRD000001,F004,A018,2025-12-13,Buy,46,100.59,4627.14,4627.14
TRD000002,F001,A002,2025-02-21,Buy,24,173.32,4159.68,4159.68
TRD000003,F001,A001,2026-04-02,Buy,228,271.91,61995.48,61995.48
TRD000004,F005,A003,2026-07-01,Buy,428,370.01,158364.28,158364.28
TRD000005,F008,A019,2026-04-25,Buy,77,291.23,22424.71,22424.71
TRD000006,F005,A014,2026-04-22,Buy,339,271.74,92119.86,92119.86
TRD000007,F004,A018,2025-09-22,Sell,450,119.28,53676.0,-53676.0
TRD000008,F007,A010,2025-12-05,Sell,368,123.47,45436.96,-45436.96
TRD000009,F006,A018,2026-05-02,Buy,259,91.6,23724.4,23724.4
TRD000010,F008,A017,2025-12-23,Buy,443,159.87,70822.41,70822.41
TRD000011,F003,A005,2025-04-20,Buy,217,139.12,30189.04,30189.04
TRD000012,F002,A019,2026-02-28,Buy,282,327.86,92456.52,92456.52
TRD000013,F004,A018,2025-12-15,Buy,256,102.9,26342.4,26342.4
TRD000014,F007,A012,2026-07-12,Buy,300,60.94,18282.0,18282.0
TRD000015,F003,A005,2026-08-11,Sell,388,143.44,55654.72,-55654.72
TRD000016,F002,A018,2026-07-23,Buy,315,105.43,33210.45,33210.45
TRD000017,F008,A016,2025-03-13,Buy,167,216.13,36093.71,36093.71
TRD000018,F007,A011,2025-03-04,Buy,263,166.39,43760.57,43760.57
TRD000019,F003,A001,2025-06-02,Buy,397,251.24,99742.28,99742.28
TRD000020,F005,A005,2025-07-20,Buy,325,129.99,42246.75,42246.75
TRD000021,F006,A016,2025-11-08,Sell,301,206.92,62282.92,-62282.92
TRD000022,F007,A011,2026-06-07,Buy,55,163.41,8987.55,8987.55
TRD000023,F003,A015,2026-07-17,Sell,41,127.43,5224.63,-5224.63
TRD000024,F001,A008,2026-01-03,Buy,296,248.24,73479.04,73479.04
TRD000025,F005,A001,2026-02-08,Buy,130,275.26,35783.8,35783.8
TRD000026,F007,A012,2025-08-05,Buy,205,55.01,11277.05,11277.05
TRD000027,F008,A016,2026-01-04,Sell,106,193.29,20488.74,-20488.74
TRD000028,F003,A015,2025-05-18,Buy,456,139.4,63566.4,63566.4
TRD000029,F001,A002,2026-03-24,Sell,379,195.05,73923.95,-73923.95
TRD000030,F003,A005,2026-03-02,Sell,80,132.44,10595.2,-10595.2
TRD000031,F007,A010,2026-07-20,Sell,242,110.04,26629.68,-26629.68
TRD000032,F007,A011,2025-01-08,Buy,125,144.42,18052.5,18052.5
TRD000033,F004,A020,2026-08-14,Buy,220,184.21,40526.2,40526.2
TRD000034,F001,A007,2025-04-26,Buy,257,188.58,48465.06,48465.06
TRD000035,F002,A017,2025-10-14,Buy,383,189.7,72655.1,72655.1
TRD000036,F002,A018,2025-09-09,Buy,465,110.14,51215.1,51215.1
TRD000037,F002,A018,2026-08-17,Buy,334,107.87,36028.58,36028.58
TRD000038,F001,A003,2026-04-26,Buy,283,440.85,124760.55,124760.55
TRD000039,F008,A019,2025-12-28,Sell,385,314.97,121263.45,-121263.45
TRD000040,F005,A003,2025-11-08,Sell,95,350.13,33262.35,-33262.35
TRD000041,F005,A001,2025-06-23,Buy,332,278.76,92548.32,92548.32
TRD000042,F005,A014,2026-05-12,Buy,329,219.37,72172.73,72172.73
TRD000043,F002,A019,2025-10-15,Buy,139,295.17,41028.63,41028.63
TRD000044,F005,A001,2025-06-28,Sell,389,248.27,96577.03,-96577.03
TRD000045,F003,A020,2025-09-25,Sell,199,178.39,35499.61,-35499.61
TRD000046,F004,A020,2025-02-03,Buy,102,177.98,18153.96,18153.96
TRD000047,F002,A017,2025-06-07,Sell,314,200.48,62950.72,-62950.72
TRD000048,F007,A012,2025-06-21,Buy,131,58.8,7702.8,7702.8
TRD000049,F006,A001,2025-04-29,Buy,338,261.16,88272.08,88272.08
TRD000050,F008,A017,2026-06-30,Buy,253,166.82,42205.46,42205.46
TRD000051,F007,A012,2026-03-22,Buy,144,50.13,7218.72,7218.72
TRD000052,F008,A017,2026-06-27,Buy,357,167.58,59826.06,59826.06
TRD000053,F001,A001,2025-12-29,Sell,479,283.66,135873.14,-135873.14
TRD000054,F007,A011,2025-04-11,Buy,181,148.46,26871.26,26871.26
TRD000055,F007,A012,2025-09-05,Sell,405,59.05,23915.25,-23915.25
TRD000056,F004,A020,2025-07-04,Buy,356,172.63,61456.28,61456.28
TRD000057,F001,A008,2025-01-13,Buy,14,248.98,3485.72,3485.72
TRD000058,F002,A018,2025-10-18,Buy,238,101.87,24245.06,24245.06
TRD000059,F001,A001,2025-08-11,Sell,327,246.62,80644.74,-80644.74
TRD000060,F002,A018,2025-05-14,Buy,500,94.46,47230.0,47230.0
TRD000061,F003,A005,2025-10-29,Buy,366,114.99,42086.34,42086.34
TRD000062,F002,A018,2025-10-11,Sell,242,120.14,29073.88,-29073.88
TRD000063,F006,A016,2025-10-11,Sell,92,206.14,18964.88,-18964.88
TRD000064,F007,A012,2025-09-22,Sell,180,64.45,11601.0,-11601.0
