transactionid,investorid,fundid,transactiondate,transactiontype,amount,currency
ITX000001,INV0059,F005,2025-11-10,Subscription,17914.62,EUR
ITX000002,INV0025,F006,2025-05-03,Subscription,6472.47,EUR
ITX000003,INV0089,F003,2025-07-16,Subscription,47568.44,EUR
ITX000004,INV0093,F005,2025-04-13,Subscription,24467.83,EUR
ITX000005,INV0047,F003,2025-11-06,Redemption,-15164.2,EUR
ITX000006,INV0036,F001,2025-02-25,Subscription,26939.69,EUR
ITX000007,INV0017,F008,2025-04-16,Subscription,35022.16,EUR
ITX000008,INV0061,F008,2026-03-28,Redemption,-28916.18,EUR
ITX000009,INV0033,F008,2025-04-27,Subscription,48292.13,EUR
ITX000010,INV0010,F001,2025-06-05,Redemption,-20335.02,EUR
ITX000011,INV0039,F002,2025-09-12,Subscription,28360.56,EUR
ITX000012,INV0078,F004,2026-06-20,Subscription,38339.95,EUR
ITX000013,INV0039,F007,2025-11-09,Subscription,45470.97,EUR
ITX000014,INV0095,F002,2025-08-01,Subscription,3481.4,EUR
ITX000015,INV0011,F003,2025-09-03,Subscription,13599.98,EUR
ITX000016,INV0001,F007,2026-04-07,Subscription,4215.71,EUR
ITX000017,INV0005,F004,2025-10-23,Subscription,23760.67,EUR
ITX000018,INV0059,F002,2025-08-28,Subscription,35297.88,EUR
ITX000019,INV0081,F004,2026-03-12,Redemption,-39497.49,EUR
ITX000020,INV0020,F005,2025-05-26,Subscription,11628.07,EUR
ITX000021,INV0040,F005,2026-03-26,Subscription,8713.18,EUR
ITX000022,INV0090,F007,2025-10-06,Subscription,34589.56,EUR
ITX000023,INV0011,F001,2026-03-19,Subscription,24942.86,EUR
ITX000024,INV0004,F002,2025-08-23,Subscription,30383.83,EUR
ITX000025,INV0074,F001,2025-10-03,Redemption,-41879.95,EUR
ITX000026,INV0023,F008,2026-06-16,Subscription,38273.9,EUR
ITX000027,INV0024,F007,2026-05-19,Subscription,45845.6,EUR
ITX000028,INV0053,F006,2025-11-25,Redemption,-23765.51,EUR
ITX000029,INV0043,F007,2026-05-23,Subscription,42957.79,EUR
ITX000030,INV0098,F001,2026-04-11,Subscription,47287.08,EUR
ITX000031,INV0015,F007,2026-06-11,Subscription,12993.74,EUR
ITX000032,INV0070,F008,2026-02-28,Redemption,-556.98,EUR
ITX000033,INV0080,F008,2026-03-29,Subscription,26162.75,EUR
ITX000034,INV0071,F003,2025-10-22,Subscription,10576.13,EUR
ITX000035,INV0016,F001,2025-09-03,Subscription,35063.38,EUR
ITX000036,INV0002,F007,2025-04-06,Subscription,15882.13,EUR
ITX000037,INV0015,F008,2025-05-01,Subscription,42149.58,EUR
ITX000038,INV0092,F005,2026-06-06,Subscription,8121.57,EUR
ITX000039,INV0062,F008,2025-09-07,Subscription,21066.77,EUR
ITX000040,INV0025,F003,2025-03-13,Subscription,7659.78,EUR
ITX000041,INV0054,F006,2026-06-04,Subscription,39605.31,EUR
ITX000042,INV0093,F005,2026-08-17,Subscription,626.98,EUR
ITX000043,INV0020,F008,2026-07-06,Redemption,-24737.2,EUR
ITX000044,INV0098,F007,2026-04-12,Subscription,16955.78,EUR
ITX000045,INV0090,F004,2026-08-09,Redemption,-43545.28,EUR
ITX000046,INV0053,F001,2025-11-22,Subscription,42872.64,EUR
ITX000047,INV0049,F007,2025-06-05,Subscription,35408.78,EUR
ITX000048,INV0065,F006,2025-04-13,Subscription,2332.47,EUR
ITX000049,INV0068,F008,2025-01-16,Redemption,-22295.16,EUR
ITX000050,INV0084,F003,2025-03-18,Subscription,20793.94,EUR
ITX000051,INV0044,F007,2025-03-24,Subscription,48475.58,EUR
ITX000052,INV0069,F007,2025-11-21,Redemption,-42690.9,EUR
ITX000053,INV0063,F001,2025-03-12,Subscription,44428.21,EUR
ITX000054,INV0037,F004,2025-04-03,Subscription,34377.78,EUR
ITX000055,INV0082,F002,2026-03-31,Subscription,5372.93,EUR
ITX000056,INV0004,F001,2025-11-29,Subscription,15323.57,EUR
ITX000057,INV0048,F007,2025-05-30,Subscription,15021.7,EUR
ITX000058,INV0088,F003,2025-06-24,Subscription,20896.56,EUR
ITX000059,INV0049,F004,2026-05-25,Subscription,30669.84,EUR
ITX000060,INV0060,F005,2026-04-16,Redemption,-7584.33,EUR
ITX000061,INV0060,F005,2026-07-14,Subscription,965.17,EUR
ITX000062,INV0045,F005,2026-03-11,Subscription,22365.62,EUR
ITX000063,INV0039,F004,2026-01-29,Subscription,23113.37,EUR
ITX000064,INV0049,F006,2026-08-12,Redemption,-5779.34,EUR
ITX000065,INV0003,F007,2025-10-09,Subscription,35114.31,EUR
ITX000066,INV0100,F001,2026-05-24,Subscription,43320.84,EUR
ITX000067,INV0100,F004,2025-12-27,Redemption,-45195.28,EUR
ITX000068,INV0033,F003,2025-04-10,Subscription,9911.53,EUR
ITX000069,INV0040,F008,2025-02-04,Redemption,-32493.86,EUR
ITX000070,INV0012,F005,2025-12-01,Subscription,36751.81,EUR
ITX000071,INV0017,F006,2026-06-28,Subscription,9194.18,EUR
ITX000072,INV0022,F005,2026-05-09,Subscription,13990.1,EUR
ITX000073,INV0044,F002,2026-04-25,Redemption,-15109.5,EUR
ITX000074,INV0029,F007,2026-07-25,Redemption,-7467.47,EUR
ITX000075,INV0002,F005,2026-07-04,Subscription,39638.76,EUR
ITX000076,INV0096,F005,2026-01-26,Subscription,18744.99,EUR
ITX000077,INV0014,F004,2026-04-28,Redemption,-47044.45,EUR
ITX000078,INV0072,F006,2025-08-15,Subscription,44269.62,EUR
ITX000079,INV0060,F005,2026-02-23,Subscription,31952.49,EUR
ITX000080,INV0005,F005,2026-05-20,Subscription,2744.67,EUR
ITX000081,INV0069,F003,2026-02-02,Subscription,12122.6,EUR
ITX000082,INV0096,F007,2025-06-08,Subscription,33689.07,EUR
ITX000083,INV0063,F007,2025-10-14,Redemption,-32918.63,EUR
ITX000084,INV0057,F008,2025-08-30,Subscription,18841.23,EUR
ITX000085,INV0088,F006,2026-07-12,Redemption,-5418.05,EUR
ITX000086,INV0008,F007,2025-10-10,Redemption,-32418.93,EUR
ITX000087,INV0059,F002,2025-08-06,Subscription,6546.91,EUR
ITX000088,INV0003,F001,2025-12-08,Subscription,30058.72,EUR
ITX000089,INV0073,F004,2025-03-12,Subscription,6733.23,EUR
ITX000090,INV0076,F004,2025-08-27,Redemption,-27933.29,EUR
ITX000091,INV0077,F001,2025-10-11,Subscription,7803.93,EUR
ITX000092,INV0017,F005,2025-06-28,Redemption,-7662.06,EUR
ITX000093,INV0017,F001,2026-01-02,Subscription,43389.17,EUR
ITX000094,INV0042,F001,2025-06-28,Subscription,12277.61,EUR
ITX000095,INV0054,F002,2025-03-07,Subscription,6774.55,EUR
ITX000096,INV0066,F002,2026-04-08,Subscription,39011.84,EUR
ITX000097,INV0006,F005,2026-04-15,Subscription,47298.07,EUR
ITX000098,INV0062,F007,2026-03-13,Subscription,2041.96,EUR
ITX000099,INV0057,F002,2025-03-24,Subscription,24768.31,EUR
ITX000100,INV0017,F005,2026-07-16,Subscription,7842.52,EUR
ITX000101,INV0077,F005,2026-04-10,Subscription,19354.77,EUR
ITX000102,INV0090,F002,2026-07-19,Subscription,21794.87,EUR
ITX000103,INV0058,F004,2026-02-28,Subscription,11143.64,EUR
ITX000104,INV0054,F002,2025-11-17,Subscription,22948.2,EUR
ITX000105,INV0048,F003,2026-05-01,Subscription,33422.84,EUR
ITX000106,INV0012,F007,2025-04-09,Subscription,41672.71,EUR
ITX000107,INV0017,F001,2026-07-30,Subscription,18946.02,EUR
ITX000108,INV0053,F006,2026-03-10,Subscription,33665.66,EUR
ITX000109,INV0037,F005,2025-12-27,Redemption,-36192.5,EUR
ITX000110,INV0020,F008,2025-08-18,Subscription,25616.92,EUR
ITX000111,INV0072,F006,2025-04-28,Redemption,-17830.64,EUR
ITX000112,INV0055,F001,2025-10-01,Subscription,28917.95,EUR
ITX000113,INV0098,F005,2025-12-14,Subscription,14026.88,EUR
ITX000114,INV0019,F007,2025-03-13,Subscription,9479.58,EUR
ITX000115,INV0004,F002,2026-06-28,Subscription,31842.01,EUR
ITX000116,INV0044,F003,2026-01-14,Subscription,21281.71,EUR
ITX000117,INV0073,F002,2025-02-23,Subscription,16556.95,EUR
ITX000118,INV0007,F002,2025-10-06,Subscription,37844.58,EUR
ITX000119,INV0078,F008,2026-03-01,Subscription,21488.73,EUR
ITX000120,INV0015,F006,2026-03-17,Subscription,37869.69,EUR
ITX000121,INV0076,F008,2026-06-24,Subscription,34071.79,EUR
ITX000122,INV0051,F001,2025-01-08,Subscription,2748.16,EUR
ITX000123,INV0099,F003,2025-09-19,Subscription,47293.54,EUR
ITX000124,INV0064,F007,2025-06-29,Subscription,6439.23,EUR
ITX000125,INV0030,F006,2025-03-15,Subscription,26862.83,EUR
ITX000126,INV0056,F001,2026-04-16,Subscription,37231.05,EUR
ITX000127,INV0074,F007,2026-08-11,Redemption,-43174.45,EUR
ITX000128,INV0038,F002,2026-02-19,Subscription,32187.01,EUR
ITX000129,INV0080,F008,2026-01-06,Subscription,16576.02,EUR
ITX000130,INV0032,F007,2026-02-15,Subscription,42301.98,EUR
ITX000131,INV0040,F006,2025-08-15,Subscription,20090.45,EUR
